,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL
0,20,Millionaire's Club,704,1000000,3.11,5,1,,,,07/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_704
0,10,Money Rush,703,100000,3.50,9,5,,,,07/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_703
0,5,Gold Bar Bingo,702,50000,3.83,8,3,,,,07/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_702
0,5,Joker's Wild,701,50000,3.77,8,1,,,,07/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_701
0,1,Lucky 13,700,1313,4.45,22,3,,,,07/22/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_700
0,10,"$100,000 Crossword",708,100000,3.09,10,3,,,,06/17/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_708
0,10,"Win $50, $100 or $200",698,200,9.23,23419,2738,,,,06/17/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_698
0,5,Lots of Cash,697,50000,3.92,8,3,,,,06/17/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_697
0,3,Diamond Bingo,696,30000,3.82,7,6,,,,06/17/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_696
0,20,Gold Rush 777,695,1000000,3.04,4,2,,,,05/20/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_695
0,10,Gold Rush 7s Multiplier,694,100000,3.43,8,3,,,,05/20/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_694
0,5,Gold Rush 7s Tripler,693,50000,3.99,8,3,,,,05/20/2024,,, 04/13/2025,https://www.mdlottery.com/games/scratch-offs/#prize_details_693
