price,gameName,gameNumber,topprize,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,overallodds,secondChance,dateexported,gameURL,gamePhoto
2.0,Who Likes Money,1625,10000.0,0,Top Prize Claimed,2025-03-11,,,3.82,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Wings of Fortune,1626,50000.0,0,Top Prize Claimed,2025-09-09,,,3.79,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Starry Crossword,1627,50000.0,1,Available,2025-09-30,,,3.53,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
1.0,Pug Life,1628,1000.0,0,Top Prize Claimed,2025-07-08,,,4.15,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Level Up!,1629,10000.0,1,Available,2025-06-10,,,3.94,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Jackpot Spin,1630,100000.0,2,Available,2025-09-09,,,3.41,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Strike It Rich! Bingo,1631,10000.0,2,Available,2025-08-20,,,3.47,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Mega Slots,1632,100000.0,1,Available,2025-11-12,,,3.45,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
3.0,Dragonfly Bingo,1633,25000.0,1,Available,2025-08-27,,,3.78,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,State Parks Adventures,1634,50000.0,0,Top Prize Claimed,2025-06-10,,,3.72,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
1.0,Pocket Change,1635,1000.0,1,Available,2025-11-12,,,4.83,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Gold Rush,1636,50000.0,1,Available,2025-12-09,,,3.73,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Beat The Heat,1637,10000.0,1,Available,2025-07-08,,,3.75,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Ka Pow!,1638,50000.0,1,Available,2026-02-10,,,3.79,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Crossword Nectar,1639,100000.0,8,Available,2025-11-07,,,3.3,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Full Moon Crossword,1640,15000.0,5,Available,2026-01-15,,,3.65,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Sleigh Ride Riches,1641,10000.0,1,Available,2025-10-07,2026-01-13,2027-01-13,3.81,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,Make It Merry,1642,50000.0,1,Available,2025-10-07,2026-01-13,2027-01-13,3.75,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Deck the Halls,1643,75000.0,2,Available,2025-10-07,2026-01-13,2027-01-13,3.39,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
20.0,Season's Greetings,1644,150000.0,1,Available,2025-10-07,2026-01-13,2027-01-13,2.95,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
30.0,Holiday Wishes,1645,200000.0,1,Available,2025-10-07,2026-01-13,2027-01-13,2.63,2nd Chance,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Tropic Cash,1646,10000.0,1,Available,2025-12-09,,,4.52,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
5.0,High Roller,1649,40000.0,1,Available,2025-10-07,,,5.4,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
10.0,Cash Frenzy,1650,100000.0,2,Available,2025-12-09,,,3.74,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
3.0,Crossword Detective,1651,25000.0,6,Available,2026-03-10,,,4.44,,2026-04-19,https://www.oregonlottery.org/scratch-its/,
2.0,Mega 5x Multiplier,1653,10000.0,1,Available,2026-01-13,,,4.5,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/09/1653_Mega5XMultiplier_GameTile_1200x1200-768x768.jpg
5.0,Mega 10X Multiplier,1654,30000.0,1,Available,2026-01-13,,,4.13,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/09/1654_Mega10XMultiplier_GameTile_1200x1200-768x768.jpg
10.0,Mega 20X Multiplier,1655,60000.0,2,Available,2026-01-13,,,3.64,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/09/1655_Mega20XMultiplier_GameTile_1200x1200-768x768.jpg
20.0,Mega 50X Multiplier,1656,120000.0,2,Available,2026-01-13,,,3.31,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/09/1656_Mega50XMultiplier_GameTile_1200x1200-768x768.jpg
30.0,Mega 100X Multiplier,1657,150000.0,1,Available,2026-01-13,,,3.42,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/09/1657_Mega100XMultiplier_GameTile_1200x1200-768x768.jpg
2.0,Turtle Tripler,1662,8000.0,2,Available,2026-02-10,,,4.58,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/09/1662_Turtle_Tripler_GameTiles_1200x1200-768x768.jpg
2.0,Extreme 8s,1663,8000.0,1,Available,2026-03-10,,,4.58,,2026-04-19,https://www.oregonlottery.org/scratch-its/,https://www.oregonlottery.org/wp-content/uploads/2025/12/1663_Extreme8s_GameTile_1200x1200-768x768.jpg
