,gameNumber,gameName,prizeamount,Winning Tickets At Start,Winning Tickets Unclaimed,Prize Probability,Percent Tix Remaining,Starting Expected Value,Expected Value,dateexported
12,1469,Blackjack Tripler,0,1615379.5099999998,543720.85,0.7304590551551343,0.3365901614042387,-3.652291947401264,-3.6522952757756717,2025-08-08 08:00:45.387000
13,1469,Blackjack Tripler,Total,2211460.51,744355.85,1.0000011419282466,0.3365901614042387,,,2025-08-08 08:00:45.387000
0,1470,Arizona Treasure Hunt,20000,12.0,5.0,3.6486576223741524e-06,0.4166666666666667,0.0780174609764765,0.07296220647461593,2025-08-08 08:00:45.607000
1,1470,Arizona Treasure Hunt,1000,25.0,9.0,6.567583720273475e-06,0.36,0.008103653943252638,0.0065478809691126546,2025-08-08 08:00:45.607000
2,1470,Arizona Treasure Hunt,500,53.0,24.0,1.751355658739593e-05,0.4528301886792453,0.008564026018825187,0.008704237623935776,2025-08-08 08:00:45.607000
3,1470,Arizona Treasure Hunt,100,1793.0,725.0,0.000529055355244252,0.40435025097601784,0.05654546027941594,0.05131836945869245,2025-08-08 08:00:45.607000
4,1470,Arizona Treasure Hunt,50,6791.0,2783.0,0.002030842832613453,0.40980709762921513,0.10377131212218847,0.0954496131328323,2025-08-08 08:00:45.607000
5,1470,Arizona Treasure Hunt,30,23543.0,9516.0,0.006944125186902486,0.40419657647708446,0.20666707198483114,0.18749138004636712,2025-08-08 08:00:45.607000
6,1470,Arizona Treasure Hunt,20,53865.0,22316.0,0.016284688700180315,0.4142949967511371,0.2977154035749712,0.27683970790306534,2025-08-08 08:00:45.607000
7,1470,Arizona Treasure Hunt,10,92307.0,39511.0,0.028832422263525028,0.4280390436261605,0.21007694651068204,0.2018269558446752,2025-08-08 08:00:45.607000
8,1470,Arizona Treasure Hunt,5,246285.0,110773.0,0.0808345501606504,0.4497756664027448,0.1601451082378316,0.1616691003213008,2025-08-08 08:00:45.607000
9,1470,Arizona Treasure Hunt,3,384740.0,174961.0,0.12767455725364082,0.45475126059156834,0.0,0.0,2025-08-08 08:00:45.607000
10,1470,Arizona Treasure Hunt,0,2266359.1999999997,1009744.3999999999,0.736842320341923,0.4455359062235148,-2.2105264595274097,-2.210526961025769,2025-08-08 08:00:45.607000
11,1470,Arizona Treasure Hunt,Total,3075773.1999999997,1370367.4,1.0000002918926096,0.4455359062235148,,,2025-08-08 08:00:45.607000
0,1471,MONOPOLY 5X,1000,14.0,5.0,1.3550084091821873e-06,0.35714285714285715,0.0017987910827497915,0.001353653400773005,2025-08-08 08:00:45.783000
1,1471,MONOPOLY 5X,500,27.0,8.0,2.1680134546914996e-06,0.2962962962962963,0.001732812259251247,0.0010818387138910584,2025-08-08 08:00:45.783000
2,1471,MONOPOLY 5X,100,646.0,276.0,7.479646418685674e-05,0.42724458204334365,0.00822535999615188,0.0074048499544988175,2025-08-08 08:00:45.783000
3,1471,MONOPOLY 5X,50,5423.0,2160.0,0.0005853636327667049,0.39830352203577357,0.034176130276408825,0.02868281800556854,2025-08-08 08:00:45.783000
