gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,endDate,lastdatetoclaim,gameURL,gamePhoto,dateexported,extrachances,secondChance,topprizeodds
477,CROSSWORD PLUS,3.0,500000,3.86,10,1,Available,2024-09-11,,,https://www.molottery.com/scratchers.do?method=d&game=477,https://www.molottery.com/media/scratchers/tile/477.png,2026-04-18,,,0
489,SMOKIN HOT CASH,5.0,1000000,3.83,5,3,Available,2024-09-03,,,https://www.molottery.com/scratchers.do?method=d&game=489,https://www.molottery.com/media/scratchers/tile/489.png,2026-04-18,,,0
486,HEAPS OF $500S,5.0,1000000,4.06,6,2,Available,2024-08-13,,,https://www.molottery.com/scratchers.do?method=d&game=486,https://www.molottery.com/media/scratchers/tile/486.png,2026-04-18,,,0
479,KING OF SPADES,5.0,1000000,3.99,6,2,Available,2024-07-29,,,https://www.molottery.com/scratchers.do?method=d&game=479,https://www.molottery.com/media/scratchers/tile/479.png,2026-04-18,,,0
471,"$1,000,000 WINNINGS",10.0,100000000,3.32,2,1,Available,2024-07-29,,,https://www.molottery.com/scratchers.do?method=d&game=471,https://www.molottery.com/media/scratchers/tile/471.png,2026-04-18,,,0
474,$50 & $100 EXPLOSION,10.0,100,9.38,144012,17940,Available,2024-06-24,,,https://www.molottery.com/scratchers.do?method=d&game=474,https://www.molottery.com/media/scratchers/tile/474.png,2026-04-18,,,0
464,"$5,000,000 FORTUNE",50.0,500000000,3.3,3,0,Claimed,2024-05-28,,,https://www.molottery.com/scratchers.do?method=d&game=464,https://www.molottery.com/media/scratchers/tile/464.png,2026-04-18,,,0
453,300X,30.0,300000000,2.64,3,1,Available,2024-01-29,,,https://www.molottery.com/scratchers.do?method=d&game=453,https://www.molottery.com/media/scratchers/tile/453.png,2026-04-18,,,0
448,"$1,000,000 CASH PAYOUT",10.0,100000000,3.18,2,1,Available,2023-12-26,,,https://www.molottery.com/scratchers.do?method=d&game=448,https://www.molottery.com/media/scratchers/tile/448.png,2026-04-18,,,0
421,500X,50.0,500000000,2.93,3,0,Claimed,2023-05-30,,,https://www.molottery.com/scratchers.do?method=d&game=421,https://www.molottery.com/media/scratchers/tile/421_p4_itvm_card.gif,2026-04-18,,,0
405,"$1,000,000 MONEY MULTIPLIER",10.0,100000000,3.27,2,1,Available,2022-12-27,,,https://www.molottery.com/scratchers.do?method=d&game=405,https://www.molottery.com/media/scratchers/tile/405.png,2026-04-18,,,0
409,FRUIT LOOT,3.0,500000,3.82,10,2,Available,2022-12-27,,,https://www.molottery.com/scratchers.do?method=d&game=409,https://www.molottery.com/media/scratchers/tile/409.png,2026-04-18,,,0
359,24K GOLD,20.0,200000000,3.04,2,1,Available,2021-12-28,,,https://www.molottery.com/scratchers.do?method=d&game=359,https://www.molottery.com/media/scratchers/ITVM/359.gif,2026-04-18,,,0
375,BIG RICHES,30.0,300000000,2.66,4,0,Claimed,2021-08-30,,,https://www.molottery.com/scratchers.do?method=d&game=375,https://www.molottery.com/media/scratchers/tile/375_0.png,2026-04-18,,,0
