,price,gameName,gameNumber,topprize,topprizeodds,overallodds,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
0,2,Money Match,2157,25000,"874,285.71",6.82,3,,,,5/3/2022,,,2026-01-11,https://www.valottery.com/scratchers/2157,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/digital-scratcher-teaser-images/2157_teaser.jpg?rev=4be5875c5cb24b9bbed8c2d2a7ea0029
0,2,5X The Money,2293,20000,"1,136,400",4.53,3,,eXTRA Chances,,10/16/2025,,,2026-01-11,https://www.valottery.com/scratchers/2293,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2293_teaser.jpg?rev=6a2d2091797a48c4a507f5e59862f507
0,2,FAST $100s,2345,100,306,4.5,845,,,,6/3/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2345,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2345_teaser.jpg?rev=9f61a0114f5b4f3abd5590656a0690c8
0,2,Pirates Treasure,2290,20000,"979,200",5.63,2,,,,8/6/2024,,,2026-01-11,https://www.valottery.com/scratchers/2290,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2290_teaser.jpg?rev=5be3e53f4dd241c8bef6ad934bf77d21
0,2,Tis The Season,2371,15000,"587,520",4.26,1,,,,11/4/2025,,,2026-01-11,https://www.valottery.com/scratchers/2371,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2371_teaser.jpg?rev=fa02171f8a11424e9c11d359118ca127
0,2,Lucky 7s,2359,25000,"734,400",4.55,0,Top Prize Claimed,,,9/2/2025,,,2026-01-11,https://www.valottery.com/scratchers/2359,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2359_teaser.jpg?rev=d4603c4f704c4fe79494ab96191e4b09
0,2,BARKIN BUCKS,2356,20000,"775,200",4.68,0,Top Prize Claimed,,,8/5/2025,,,2026-01-11,https://www.valottery.com/scratchers/2356,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2356_teaser.jpg?rev=f992a917c041442fbee59046fcd140e4
0,2,Pair A Dice,2341,25000,"612,000",5.95,0,Top Prize Claimed,,,5/6/2025,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2341,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2341_teaser.jpg?rev=1ed7295ca230496c99e3cdbce2aa5f66
0,2,5X The Money,2234,20000,"1,713,600",4.53,0,Top Prize Claimed,eXTRA Chances,,2/26/2024,,,2026-01-11,https://www.valottery.com/scratchers/2234,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2234_teaser.jpg?rev=94d0d117b6154d94ac2765d5921ee2a3
0,2,TEAM USA,2282,30000,"979,200",4.61,1,,,,7/2/2024,10/3/2025,4/1/2026,2026-01-11,https://www.valottery.com/scratchers/2282,https://cdnprodpaasmedia-valottery-com.azureedge.net/-/media/val/images/scratcher-teaser/2282_teaser.jpg?rev=2b1f806242ce48b183815f23f046974a
