,gameNumber,gameURL,gamePhoto
57,1477,https:/www.oregonlottery.org/scratch-its/hot-dice-crossword/,https://www.oregonlottery.org/wp-content/uploads/2022/02/1477_HotDiceCrossword_1200x1200-300x300.jpg
58,1486,https:/www.oregonlottery.org/scratch-its/celebrating-state-parks/,https://www.oregonlottery.org/wp-content/uploads/2022/03/1486_CelebratingStateParks_GameTile_1200x1200-300x300.jpg
59,1481,https:/www.oregonlottery.org/scratch-its/777/,https://www.oregonlottery.org/wp-content/uploads/2022/03/1481_777_GameTile_1200x1200-300x300.jpg
60,1466,https:/www.oregonlottery.org/scratch-its/electric-dice/,https://www.oregonlottery.org/wp-content/uploads/2022/03/1466_Electric_Dice_Tile_1200x1200-300x300.jpg
61,1463,https:/www.oregonlottery.org/scratch-its/stacks-of-cash/,https://www.oregonlottery.org/wp-content/uploads/2021/09/1463StacksOfCash_GameTile_1200x1200-300x300.jpg
62,1449,https:/www.oregonlottery.org/scratch-its/bread-and-butter-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1449_Bread-Butter_Tile_1200x1200-300x300.jpg
63,1468,https:/www.oregonlottery.org/scratch-its/lucky-numbers/,https://www.oregonlottery.org/wp-content/uploads/2021/12/1468_LuckyNumbers_GameTile_1200x1200-300x300.jpg
64,1464,https:/www.oregonlottery.org/scratch-its/oregon-gold/,https://www.oregonlottery.org/wp-content/uploads/2021/12/1464_OregonGold_GameTile_1200x1200-300x300.jpg
65,1490,https:/www.oregonlottery.org/scratch-its/just-for-you/,https://www.oregonlottery.org/wp-content/uploads/2022/01/1490_JustForYou_Tile_1200x1200-300x300.jpg
66,1461,https:/www.oregonlottery.org/scratch-its/mystery-key-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1461_Mystery_Key_Crossword_GameTile_1200x1200-300x300.jpg
67,1443,https:/www.oregonlottery.org/scratch-its/pharaohs-gold-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1443_PharaohsGold_GameTile_1200x1200-300x300.jpg
68,1437,https:/www.oregonlottery.org/scratch-its/crazy-hearts-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1437_Crazy-Heart-Crossword_1200x1200-300x300.jpg
69,1444,https:/www.oregonlottery.org/scratch-its/diamond-mine/,https://www.oregonlottery.org/wp-content/uploads/2021/09/1444_DiamondMine_GameTile_1200x1200-300x300.jpg
70,1445,https:/www.oregonlottery.org/scratch-its/beat-the-house/,https://www.oregonlottery.org/wp-content/uploads/2021/11/01445_BeatTheHouse_1200x1200-300x300.jpg
71,1474,https:/www.oregonlottery.org/scratch-its/neon-jackpot/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1474_NeonJackpot_GameTile_1200x1200-300x300.jpg
72,1465,https:/www.oregonlottery.org/scratch-its/wild-cherry-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1465_Wild_Cherry_Crossword_Tile_1200x1200-300x300.jpg
73,1460,https:/www.oregonlottery.org/scratch-its/night-owl-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1460_Night_Owl_Crossword_Tile_1200x1200-300x300.jpg
74,1472,https:/www.oregonlottery.org/scratch-its/nuts-for-cash/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1472_NutsForCash_GameTile_1200x1200-1-300x300.jpg
75,1432,https:/www.oregonlottery.org/scratch-its/lucky-slug-tripler/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1432_LuckySlugTripler_GameTile_348x348-300x300.png
76,1457,https:/www.oregonlottery.org/scratch-its/giraffe-bingo/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1457_Giraffe-Bingo_1200x1200-300x300.jpg
77,1462,https:/www.oregonlottery.org/scratch-its/pink-diamond/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1462_PinkDIamond_Tile_1200x1200-300x300.jpg
78,1459,https:/www.oregonlottery.org/scratch-its/golden-peacock/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1459_Golden-Peacock_GameTile_1200x1200-300x300.jpg
79,1458,https:/www.oregonlottery.org/scratch-its/ruby-red-7s/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1458_Ruby-Red-7s_1200x1200-300x300.jpg
80,1455,https:/www.oregonlottery.org/scratch-its/50x-the-cash/,https://www.oregonlottery.org/wp-content/uploads/2021/07/1455_50X-The-Cash_GameTile_1200x1200-300x300.jpg
81,1470,https:/www.oregonlottery.org/scratch-its/royal-deal/,https://www.oregonlottery.org/wp-content/uploads/2021/11/1470_Royal_Deal_Tile_1080x1080-300x300.jpg
82,1456,https:/www.oregonlottery.org/scratch-its/six-figures/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1456_Six_Figures_Tile_1200x1200-300x300.jpg
83,1451,https:/www.oregonlottery.org/scratch-its/gnome-for-the-holidays/,https://www.oregonlottery.org/wp-content/uploads/2021/07/1451_Gnome-for-the-Holidays_1200x1200-300x300.jpg
84,1453,https:/www.oregonlottery.org/scratch-its/oregon-ornaments/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1453_Oregon_Ornaments_Tile_1200x1200-300x300.jpg
85,1452,https:/www.oregonlottery.org/scratch-its/holiday-cheer/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1452_Holiday-Cheer_GameTile_1200x1200-300x300.jpg
86,1450,https:/www.oregonlottery.org/scratch-its/winter-wishes/,https://www.oregonlottery.org/wp-content/uploads/2021/08/1450_Winter-Wishes_GameTile_1200x1200-300x300.jpg
87,1454,https:/www.oregonlottery.org/scratch-its/seasons-greetings/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1454_Seasons_Greetings_Tile_1200x1200-300x300.jpg
88,1446,https:/www.oregonlottery.org/scratch-its/in-the-chips/,https://www.oregonlottery.org/wp-content/uploads/2021/07/1446_InTheChips_1200x1200-300x300.jpg
89,1441,https:/www.oregonlottery.org/scratch-its/casino-fortune/,https://www.oregonlottery.org/wp-content/uploads/2021/07/1441_CasinoFortune_1200x1200-300x300.jpg
90,1430,https:/www.oregonlottery.org/scratch-its/magic-carpet-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/07/1430_Magic-Carpet_GameTile_1200x1200-300x300.jpg
91,1447,https:/www.oregonlottery.org/scratch-its/caribbean-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1447_CaribbeanCrossword_1200x1200-300x300.jpg
92,1426,https:/www.oregonlottery.org/scratch-its/three-of-a-kind/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1426_3-of-a-Kind_1200x1200-300x300.jpg
93,1428,https:/www.oregonlottery.org/scratch-its/coffee-break-cash/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1428_CoffeBreakCash_GameTile_1200x1200-300x300.png
94,1435,https:/www.oregonlottery.org/scratch-its/monte-carlo/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1435_Monte-Carlo_1200x1200-300x300.jpg
95,1440,https:/www.oregonlottery.org/scratch-its/hot-vegas-nights/,https://www.oregonlottery.org/wp-content/uploads/2021/06/1440_HotVegasNights_1200x1200-300x300.jpg
96,1436,https:/www.oregonlottery.org/scratch-its/jokers-wild/,https://www.oregonlottery.org/wp-content/uploads/2021/04/1436_JokersWild_1200x1200-300x300.jpg
97,1431,https:/www.oregonlottery.org/scratch-its/royal-bingo/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1431_RoyalBingo_GameTile_348x348-300x300.png
98,1422,https:/www.oregonlottery.org/scratch-its/fantastic-10s/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1422_Fantastic10s_GameTile_348x348-300x300.png
99,1434,https:/www.oregonlottery.org/scratch-its/platinum-7s/,https://www.oregonlottery.org/wp-content/uploads/2021/04/1434_Platinum_7s_1200x1200_Tile-300x300.jpg
100,1438,https:/www.oregonlottery.org/scratch-its/crossword-explosion/,https://www.oregonlottery.org/wp-content/uploads/2021/04/1438_CashExplosion_GameTile_1200x1200-300x300.jpg
101,1420,https:/www.oregonlottery.org/scratch-its/lucky-dog-doubler/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1420_LuckyDogDoubler_2400x2400-300x300.png
102,1415,https:/www.oregonlottery.org/scratch-its/northwest-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1415_Northwest_Crossword_Tile_1200x1200-300x300.jpg
103,1417,https:/www.oregonlottery.org/scratch-its/blackjack/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1417_Blackjack_GameTile_348x348-300x300.png
104,1416,https:/www.oregonlottery.org/scratch-its/honeycomb-crossword/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1416_HoneycombCrossword_2400x2400-300x300.png
105,1429,https:/www.oregonlottery.org/scratch-its/double-deuces/,https://www.oregonlottery.org/wp-content/uploads/2021/04/1429_DoubleDeuces_GameTile_1200x1200-300x300.jpg
106,1418,https:/www.oregonlottery.org/scratch-its/platinum-doubler/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1418_PlatinumDoubler_GameTile_2400x2400-300x300.png
107,1419,https:/www.oregonlottery.org/scratch-its/cash-club/,https://www.oregonlottery.org/wp-content/uploads/2021/02/1419_CashClub_2400x2400-300x300.png
108,1433,https:/www.oregonlottery.org/scratch-its/100000-jackpot/,https://www.oregonlottery.org/wp-content/uploads/2021/05/1433_100000Jackpot_GameTile_1200x1200-300x300.jpg
109,1424,https:/www.oregonlottery.org/scratch-its/bbq-bingo/,https://www.oregonlottery.org/wp-content/uploads/2021/03/1424_BBQ_Bingo_GameTile_1200x1200-300x300.png
