,gameName,gameNumber,price,startDate,lastdatetoclaim,topprize,topprizestarting,topprizeremain,overallodds,secondChance,Payout percentage,gameURL
64,$1 40th Anniversary Celebration,272,$1,"Feb. 20, 2023",Not Set,$50,4234,2541,1 in 4.84,0,60.0%,https://www.coloradolottery.com/en/games/scratch/game/1-40th-anniversary-celebration-2768/
65,"$1,000,000 Gold Rush",285,$20,"May 15, 2023",Not Set,"$1,000,000",2,2,1 in 3.02,1,74.5%,https://www.coloradolottery.com/en/games/scratch/game/1000000-gold-rush-2780/
66,Premiere Cash,257,$10,"Nov. 28, 2022",Not Set,"$250,000",3,1,1 in 3.64,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/premiere-cash-2750/
67,Holiday Treasure,257,$10,"Oct. 17, 2022",Not Set,"$250,000",3,1,1 in 3.64,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/holiday-treasure-2749/
68,$2 40th Anniversary Celebration,273,$2,"Feb. 20, 2023",Not Set,$100,2315,1169,1 in 3.66,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/2-40th-anniversary-celebration-2769/
69,$5 40th Anniversary Celebration,274,$5,"Feb. 20, 2023",Not Set,$200,4670,2040,1 in 3.52,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/5-40th-anniversary-celebration-2770/
70,$10 40th Anniversary Celebration,275,$10,"Feb. 20, 2023",Not Set,$500,4328,1639,1 in 3.44,0,71.0%,https://www.coloradolottery.com/en/games/scratch/game/10-40th-anniversary-celebration-2771/
71,Ring Toss Riche$,201,$3,"Nov. 29, 2021","Nov. 3, 2023","$35,000",4,2,1 in 3.31,0,63.0%,https://www.coloradolottery.com/en/games/scratch/game/ring-toss-riche-2711/
72,GET $200,243,$5,"April 4, 2022","July 28, 2023",$200,4370,184,1 in 3.52,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/get-200-2726/
73,Precious Metals Crossword,247,$5,"Dec. 15, 2022",Not Set,"$100,000",4,1,1 in 3.93,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/precious-metals-crossword-2732/
74,Precious Metals Crossword,247,$5,"June 20, 2022",Not Set,"$100,000",4,1,1 in 3.93,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/precious-metals-crossword-2731/
75,Ca$h Deluxe,155,$5,"March 23, 2020","Nov. 3, 2023","$100,000",6,1,1 in 3.71,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/cah-deluxe-2590/
76,$200 Mayhem,168,$5,"Jan. 11, 2021",Not Set,$200,7440,398,1 in 5.28,0,68.5%,https://www.coloradolottery.com/en/games/scratch/game/200-mayhem-2628/
77,Wild Cash,180,$10,"May 3, 2021",Not Set,"$250,000",3,1,1 in 3.64,1,71.0%,https://www.coloradolottery.com/en/games/scratch/game/wild-cash-2648/
78,7s Series,186,$2,"Nov. 14, 2022",Not Set,"$27,777",5,2,1 in 3.69,0,62.0%,https://www.coloradolottery.com/en/games/scratch/game/7s-series-2754/
79,$50 & $100 Blowout,156,$10,"March 23, 2020",Not Set,$100,84750,8413,1 in 8.88,0,71.0%,https://www.coloradolottery.com/en/games/scratch/game/50-100-blowout-2589/
