price,gameName,gameNumber,topprize,startDate,topprizeodds,Current Odds of Top Prize,Current Odds of Any Prize,Odds of Profit Prize,Expected Value of Any Prize (as % of cost),Overall Rank,Rank by Cost,Photo,Stats Page,gameURL
2.0,20X THE CASH,476,25000,2024-08-26,1072407.892,1072407.892,4.46,8.393390845265419,0.39835090417366814,67.0,11.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=476
5.0,HEAPS OF $500S,486,100000,2024-08-13,840299.5533333332,840299.5533333332,4.06,8.10322964393973,0.4189533835986528,42.0,13.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=486
5.0,KING OF SPADES,479,100000,2024-07-29,922665.555,922665.555,3.99,7.601268797308663,0.42447098878605605,33.0,8.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=479
10.0,"$1,000,000 WINNINGS",471,1000000,2024-07-29,2227675.1799999997,2227675.1799999997,3.32,6.8143808571322735,0.5131364264536671,10.0,4.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=471
5.0,FUN 5S,472,100000,2024-06-24,866135.6,866135.6,4.04,7.686723537953134,0.4379524280156607,24.0,3.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=472
10.0,$50 & $100 EXPLOSION,474,100,2024-06-24,25.010402327583815,25.010402327583815,9.38,9.38,0.6251056606871506,3.0,2.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=474
5.0,BIG MONEY,469,100000,2024-06-24,840779.632,840779.632,4.84,4.84,0.48513149377530895,14.0,1.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=469
5.0,50X THE WIN,463,100000,2024-05-28,805922.7583333334,805922.7583333334,4.03,7.732885396631243,0.429062351341065,29.0,6.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=463
50.0,"$5,000,000 FORTUNE",464,5000000,2024-05-28,2056639.2,2056639.2,3.2999999999999994,3.2999999999999994,0.5144146502684103,9.0,1.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=464
1.0,COOL $50S,466,2500,2024-05-28,1042881.9537499999,1042881.9537499999,4.81,11.702026672608058,0.38508351462820206,71.0,9.0,0,/missouri-statistics-for-each-scratcher-game,https://www.molottery.com/scratchers.do?method=d&game=466
