prizeamount,Winning Tickets Unclaimed,Winning Tickets At Start,gameName,gameNumber,price,dateexported
1000000.0,1.0,1.0,200X the Cash,1729,20,2026-01-01
20000.0,44.0,44.0,200X the Cash,1729,20,2026-01-01
10000.0,94.0,94.0,200X the Cash,1729,20,2026-01-01
4000.0,498.0,498.0,200X the Cash,1729,20,2026-01-01
1000.0,1879.0,1879.0,200X the Cash,1729,20,2026-01-01
400.0,10860.0,10860.0,200X the Cash,1729,20,2026-01-01
1700.0,0.0,0.0,Sham-rockin’ Surprize,1728,1,2026-01-01
300.0,2.0,2.0,Sham-rockin’ Surprize,1728,1,2026-01-01
100.0,65.0,65.0,Sham-rockin’ Surprize,1728,1,2026-01-01
30.0,462.0,462.0,Sham-rockin’ Surprize,1728,1,2026-01-01
20.0,344.0,344.0,Sham-rockin’ Surprize,1728,1,2026-01-01
17.0,4555.0,4555.0,Sham-rockin’ Surprize,1728,1,2026-01-01
17000.0,7.0,7.0,Four Leaf Frenzy,1727,2,2026-01-01
4000.0,3.0,3.0,Four Leaf Frenzy,1727,2,2026-01-01
400.0,31.0,31.0,Four Leaf Frenzy,1727,2,2026-01-01
100.0,327.0,327.0,Four Leaf Frenzy,1727,2,2026-01-01
80.0,2909.0,2909.0,Four Leaf Frenzy,1727,2,2026-01-01
40.0,1471.0,1471.0,Four Leaf Frenzy,1727,2,2026-01-01
70000.0,2.0,2.0,Lucky Luck,1726,5,2026-01-01
17000.0,2.0,2.0,Lucky Luck,1726,5,2026-01-01
1700.0,11.0,11.0,Lucky Luck,1726,5,2026-01-01
300.0,90.0,90.0,Lucky Luck,1726,5,2026-01-01
170.0,1332.0,1332.0,Lucky Luck,1726,5,2026-01-01
100.0,459.0,459.0,Lucky Luck,1726,5,2026-01-01
200000.0,1.0,1.0,All About Money,1725,5,2026-01-01
5000.0,7.0,7.0,All About Money,1725,5,2026-01-01
1000.0,11.0,11.0,All About Money,1725,5,2026-01-01
500.0,525.0,525.0,All About Money,1725,5,2026-01-01
200.0,1042.0,1042.0,All About Money,1725,5,2026-01-01
100.0,11860.0,11860.0,All About Money,1725,5,2026-01-01
500000.0,3.0,3.0,Lady Luck,1724,10,2026-01-01
7000.0,9.0,9.0,Lady Luck,1724,10,2026-01-01
1000.0,617.0,617.0,Lady Luck,1724,10,2026-01-01
700.0,5042.0,5042.0,Lady Luck,1724,10,2026-01-01
300.0,8506.0,8506.0,Lady Luck,1724,10,2026-01-01
100.0,101343.0,101343.0,Lady Luck,1724,10,2026-01-01
3000000.0,3.0,3.0,"The Hunt for $3,000,000",1723,30,2026-01-01
300000.0,5.0,5.0,"The Hunt for $3,000,000",1723,30,2026-01-01
15000.0,11.0,11.0,"The Hunt for $3,000,000",1723,30,2026-01-01
5000.0,252.0,252.0,"The Hunt for $3,000,000",1723,30,2026-01-01
1500.0,457.0,457.0,"The Hunt for $3,000,000",1723,30,2026-01-01
750.0,11264.0,11264.0,"The Hunt for $3,000,000",1723,30,2026-01-01
1400.0,2.0,2.0,Love Note,1722,1,2026-01-01
200.0,11.0,11.0,Love Note,1722,1,2026-01-01
