,price,gameName,gameNumber,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,extrachances,secondChance,startDate,endDate,lastdatetoclaim,dateexported,gameURL,gamePhoto
69,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
70,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
71,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
72,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
73,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
74,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
75,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
76,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
77,338.0,"$30,000 Golden Casino➞",$3,30000,3.32,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/30000-golden-casino-2844/,
78,340.0,"$250,000 Golden Casino➞",$10,250000,3.64,2,2,,eXTRA Chances,2nd Chance,"Sept. 16, 2024",,Not Set,2026-03-26,https://www.coloradolottery.com/en/games/scratch/game/250000-golden-casino-2842/,
