Description,prizeamount,TierLevel,Odds,PrizesWon,Winning Tickets Unclaimed,Winning Tickets At Start,gameNumber,gameName,dateexported
20.00,20.0,1,0.13742047548294067,60075,3001,63076,1581,Double Strike,2026-04-22
25.00,25.0,1,0.07505010813474655,32829,1619,34448,1581,Double Strike,2026-04-22
40.00,40.0,1,0.07505447044968605,33202,1248,34450,1581,Double Strike,2026-04-22
50.00,50.0,1,0.03864924004301429,17114,626,17740,1581,Double Strike,2026-04-22
100.00,100.0,1,0.0289934593020007,12918,390,13308,1581,Double Strike,2026-04-22
200.00,200.0,1,0.004278870008420199,1920,44,1964,1581,Double Strike,2026-04-22
400.00,400.0,1,0.0006448899948736653,285,11,296,1581,Double Strike,2026-04-22
1000.00,1000.0,1,2.615999937916058e-05,12,0,12,1581,Double Strike,2026-04-22
200000.00,200000.0,1,4.359999820735538e-06,2,0,2,1581,Double Strike,2026-04-22
5.00,5.0,1,0.13000696897506714,86433,6834,93267,1582,In The Money,2026-04-22
10.00,10.0,1,0.07496514823287725,50963,2817,53780,1582,In The Money,2026-04-22
15.00,15.0,1,0.025034849531948566,17140,820,17960,1582,In The Money,2026-04-22
25.00,25.0,1,0.019999999552965164,13689,659,14348,1582,In The Money,2026-04-22
30.00,30.0,1,0.006616949918679893,4554,193,4747,1582,In The Money,2026-04-22
50.00,50.0,1,0.0058029099309351295,4030,133,4163,1582,In The Money,2026-04-22
100.00,100.0,1,0.004127399995923042,2881,80,2961,1582,In The Money,2026-04-22
250.00,250.0,1,0.00013939999917056412,96,4,100,1582,In The Money,2026-04-22
500.00,500.0,1,1.3939999917056412e-05,10,0,10,1582,In The Money,2026-04-22
50000.00,50000.0,1,2.790000053209951e-06,2,0,2,1582,In The Money,2026-04-22
10.00,10.0,1,0.16247664391994476,47693,2756,50449,1583,Jackpot Gold,2026-04-22
15.00,15.0,1,0.07498873025178909,22119,1165,23284,1583,Jackpot Gold,2026-04-22
20.00,20.0,1,0.050025769509375095,14888,645,15533,1583,Jackpot Gold,2026-04-22
30.00,30.0,1,0.014048309996724129,4243,119,4362,1583,Jackpot Gold,2026-04-22
50.00,50.0,1,0.013120769755914807,3978,96,4074,1583,Jackpot Gold,2026-04-22
100.00,100.0,1,0.01030273997457698,3121,78,3199,1583,Jackpot Gold,2026-04-22
250.00,250.0,1,0.0009500800078967586,285,10,295,1583,Jackpot Gold,2026-04-22
500.00,500.0,1,0.000218999999560765,67,1,68,1583,Jackpot Gold,2026-04-22
2500.00,2500.0,1,3.864999962388538e-05,9,3,12,1583,Jackpot Gold,2026-04-22
100000.00,100000.0,1,6.440000106522348e-06,2,0,2,1583,Jackpot Gold,2026-04-22
100.00,100.0,1,0.0796516165137291,7481,28735,36216,1584,$100 Or $200 Limited,2026-04-22
200.00,200.0,1,0.03469692915678024,3242,12534,15776,1584,$100 Or $200 Limited,2026-04-22
2.00,2.0,1,0.13004030287265778,113518,18746,132264,1585,Big City Bingo,2026-04-22
3.00,3.0,1,0.039950840175151825,34995,5639,40634,1585,Big City Bingo,2026-04-22
4.00,4.0,1,0.052538588643074036,46918,6519,53437,1585,Big City Bingo,2026-04-22
5.00,5.0,1,0.014981810003519058,13347,1891,15238,1585,Big City Bingo,2026-04-22
6.00,6.0,1,0.01747811958193779,15699,2078,17777,1585,Big City Bingo,2026-04-22
