gameNumber,gameName,price,topprize,overallodds,topprizestarting,topprizeremain,topprizeavail,startDate,gameURL,gamePhoto,dateexported,topprizeodds
1029,Lucky Gems Multiplier,2.0,2000000.0,4.4,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/lucky-gems-multiplier,,2026-01-02,0
1021,Win It All,2.0,2000000.0,0.0,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/win-it-all,,2026-01-02,0
1015,Triple Golden Cherries,2.0,2000000.0,4.24,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/triple-golden-cherries,,2026-01-02,0
1027,Cashword Multiplier,2.0,2000000.0,4.52,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/cashword-multiplier-2,,2026-01-02,0
1010,Monopoly Bonus Spectacular 10X,2.0,2000000.0,4.15,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/monopoly-bonus-spectacular-10x,,2026-01-02,0
883,Bingo Multiplier,2.0,2000000.0,4.29,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/bingo-multiplier-3,https://www.ohiolottery.com/getattachment/92a13c65-a41f-4d97-b3d9-70f9c254c1cd/1592_MobileAppLogo-(1).png,2026-01-02,0
890,Cash Explosion 10X,2.0,2000000.0,4.19,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/cash-explosion-10x-890,https://www.ohiolottery.com/getattachment/e5fa2e88-dc21-404d-843a-65d9a4d75fd1/1575_MobileAppLogo.png,2026-01-02,0
860,Celebrating 50 Years,2.0,2000000.0,4.11,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$2-games/celebrating-50-years,,2026-01-02,0
1057,Blizzard Bucks,1.0,2000000.0,4.75,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/blizzard-bucks,https://www.ohiolottery.com/getattachment/c1a87c9c-db47-4d70-bc74-62a426670d30/1570_ThumbnailArt-(1).jpg,2026-01-02,0
1044,Holiday Cash,1.0,2000000.0,3.99,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/holiday-cash-1044,https://www.ohiolottery.com/getattachment/7bc7161a-4351-4afe-900a-31bd52cb5bf4/1563_MobileAppLogo.png,2026-01-02,0
1033,Winner Winner Chicken Dinner,1.0,2000000.0,4.74,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/winner-winner-chicken-dinner,,2026-01-02,0
1052,Triple Tripler,1.0,2000000.0,4.81,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/triple-tripler1052,,2026-01-02,0
1020,Hot 7s,1.0,2000000.0,4.64,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/hot-7s-1,,2026-01-02,0
1009,Monopoly Bonus Spectacular 5X,1.0,2000000.0,4.7,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/monopoly-bonus-spectacular-5x,,2026-01-02,0
873,Triple Tripler,1.0,2000000.0,4.81,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/$1-games/triple-tripler-3,,2026-01-02,0
0,Last Day to Redeem,0.0,2000000.0,0.0,0,1000000.0,Available,,https://www.ohiolottery.com/games/scratch-offs/last-day-to-redeem,,2026-01-02,0
