,price,gameName,gameNumber,topprize,gameURL,gamePhoto
76,5,Make It Rain,1423,100000,https://dclottery.com/dc-scratchers/make-it-rain,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-10/dc1423%20make%20it%20rain.jpg.webp?itok=ztNl-660
77,2,Super 7-11-21,1427,100000,https://dclottery.com/dc-scratchers/super-7-11-21,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-10/dc1427%20super%207-11-21.jpg.webp?itok=_dLv7Qpr
78,5,Red Hot 5s Doubler,1462,100000,https://dclottery.com/dc-scratchers/red-hot-5s-doubler,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-10/dc1462%20red%20hot%205s%20front%20cvv4_0.jpg.webp?itok=f0jv5s3A
79,1,Red Hot Double Doubler,1461,100000,https://dclottery.com/dc-scratchers/red-hot-double-doubler,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-10/dc1461%20red%20hot%20double%20doubler%20cvv4.jpg.webp?itok=b4bicvqS
80,2,Suits,1403,100000,https://dclottery.com/dc-scratchers/suits,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1403%20suits.jpg.webp?itok=EDiDVY4N
81,3,Blazin' Hot Crossword,1398,100000,https://dclottery.com/dc-scratchers/blazin-hot-crossword,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/1398-blazin-hot-crossword.jpg.webp?itok=A0x2lA-Z
82,3,Slingo,1412,100000,https://dclottery.com/dc-scratchers/slingo,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1412%20slingo.jpg.webp?itok=hfNYtFv0
83,3,Combo Play,1425,100000,https://dclottery.com/dc-scratchers/combo-play,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1425%20dc%20combo%20play.jpg.webp?itok=_yBfnIfC
84,5,Radio One,1449,100000,https://dclottery.com/dc-scratchers/radio-one,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1449%20radio%20one.jpg.webp?itok=Qy-LM-GA
85,5,Radio One,1449,100000,https://dclottery.com/dc-scratchers/radio-one,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1449%20radio%20one.jpg.webp?itok=Qy-LM-GA
86,3,Lucky Loot Bingo,1446,100000,https://dclottery.com/dc-scratchers/lucky-loot-bingo,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1446%20lucky%20loot%20bingo.jpg.webp?itok=tRIrm4uX
87,5,"$50,000 Jackpot",1456,100000,https://dclottery.com/dc-scratchers/50000-jackpot,https://dclottery.com/sites/default/files/styles/teaser_image/public/2022-09/dc1456-50000-jackpot-v4.webp?itok=rcTohjcA
88,5,Washington Touchdown,1426,100000,https://dclottery.com/dc-scratchers/washington-touchdown,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1426%20washington%20touchdown.jpg.webp?itok=iqm1Pjc1
89,5,Lucky Fortune,1447,100000,https://dclottery.com/dc-scratchers/lucky-fortune,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1447%20lucky%20fortune.jpg.webp?itok=knKgEl1x
90,5,"$5,000 Overload",1429,100000,https://dclottery.com/dc-scratchers/5000-overload,https://dclottery.com/sites/default/files/styles/teaser_image/public/2022-09/dc1429-5000-overload_0.webp?itok=Tm8YfQ4K
91,5,Queen And King of Hearts,1443,100000,https://dclottery.com/dc-scratchers/queen-and-king-hearts,https://dclottery.com/sites/default/files/styles/teaser_image/public/2020-09/dc1443%20qk%20of%20hearts-%20queen.jpg.webp?itok=mo23r0DF
