gameNumber,gameName,price,topprize,overallodds,startDate,gameURL,gamePhoto,topprizestarting,topprizeremain,topprizeavail,dateexported
0,Copy Cat Crossword,0.0,30000,7.28,,https://www.mnlottery.com/games/scratch/copy-cat-crossword,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/Full-Ticket-Images/2060-Copycat-Crossword-FRONT.jpg,5,5,Unknown,2026-03-30
0,Lucky Lines Diamond Multiplier,0.0,200000,5.88,,https://www.mnlottery.com/games/scratch/lucky-lines-diamond-multiplier,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6552184/2059-Lucky-Lines-Diamond-Multiplier-Indiv-Main.webp,4,4,Unknown,2026-03-30
0,Wild Cash,0.0,100000,6.67,,https://www.mnlottery.com/games/scratch/wild-cash,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6552186/2061-Wild-Cash-Indiv-Main.webp,4,4,Unknown,2026-03-30
0,200K Gold Rush,0.0,200000,6.25,,https://www.mnlottery.com/games/scratch/200k-gold-rush,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6552187/2062-200k-Gold-Rush-Indiv-Main-1.webp,4,4,Unknown,2026-03-30
0,Money,0.0,100000,5.96,,https://www.mnlottery.com/games/scratch/money,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6411227/2055-Money-Individual-Main.webp,50,50,Unknown,2026-03-30
0,Crossword Gems,0.0,100000,8.0,,https://www.mnlottery.com/games/scratch/crossword-gems,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6411228/2056-Crossword-Gems-Individual-Main.webp,4,4,Unknown,2026-03-30
0,Lucky Slingo,0.0,30000,8.89,,https://www.mnlottery.com/games/scratch/lucky-slingo,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6411229/2057-Lucky-Slingo-Individual-Main.webp,6,6,Unknown,2026-03-30
0,Gnome Series,0.0,10000,9.68,,https://www.mnlottery.com/games/scratch/gnome-series,,10,10,Unknown,2026-03-30
0,Cash Bar,0.0,1000,5.0,,https://www.mnlottery.com/games/scratch/cash-bar,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6184166/2053-Cash-Bar-Mini.webp,1551,1551,Unknown,2026-03-30
0,My Lucky Day,0.0,1000,6.45,,https://www.mnlottery.com/games/scratch/my-lucky-day,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Ticket-Fan-Images/_AUTOxAUTO_crop_center-center_none/6184087/2052-My-Lucky-Day-Mini.webp,25,25,Unknown,2026-03-30
0,Bonus Game Bingo,0.0,25000,11.11,,https://www.mnlottery.com/games/scratch/bonus-game-bingo,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6025779/2048-Bonus-Game-Bingo-Indiv-Main.webp,5,5,Unknown,2026-03-30
0,Platinum Payout,0.0,500000,7.14,,https://www.mnlottery.com/games/scratch/platinum-payout,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/6025782/2051-Platinum-Payout-Indiv-Main.webp,4,4,Unknown,2026-03-30
0,Outdoor Cash,0.0,100000,7.69,,https://www.mnlottery.com/games/scratch/outdoor-cash,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/2nd-Chance/2041-Outdoor-Cash-2nd-Chance-mobile.jpg,4,4,Unknown,2026-03-30
0,Crisscross Cash,0.0,25000,8.0,,https://www.mnlottery.com/games/scratch/crisscross-cash,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/2nd-Chance/_AUTOxAUTO_crop_center-center_none/5638638/2038-Crisscross-Cash-Individual-Main.webp,4,4,Unknown,2026-03-30
0,Cash Stash,0.0,10000,5.5,,https://www.mnlottery.com/games/scratch/cash-stash,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/2nd-Chance/_AUTOxAUTO_crop_center-center_none/5638639/2037-Cash-Stash-Individual-Main.webp,9,9,Unknown,2026-03-30
0,Big Win,0.0,500000,7.14,,https://www.mnlottery.com/games/scratch/big-win,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/5510459/2036-Big-Win-Mini.webp,3,3,Unknown,2026-03-30
0,Casino Millions,0.0,1000000,6.19,,https://www.mnlottery.com/games/scratch/casino-millions,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/5358529/2028-Casino-Millions-Individual-Main.webp,6,6,Unknown,2026-03-30
0,Win 100 200 Or 500,0.0,500,13.33,,https://www.mnlottery.com/games/scratch/win-100-200-or-500,,10550,10550,Unknown,2026-03-30
0,Black Ice,0.0,200000,6.25,,https://www.mnlottery.com/games/scratch/black-ice,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/4756870/2003-Black-Ice-Main-Image.webp,4,4,Unknown,2026-03-30
0,Red Hot 1 000S,0.0,1000,7.69,,https://www.mnlottery.com/games/scratch/red-hot-1-000s,,2532,2532,Unknown,2026-03-30
0,Double Play,0.0,100000,7.55,,https://www.mnlottery.com/games/scratch/double-play,https://mnlottery-craft-assets-prod.s3.us-gov-west-1.amazonaws.com/transforms/Main-Images/_AUTOxAUTO_crop_center-center_none/4237754/1982-Double-Play-Main.webp,4,4,Unknown,2026-03-30
